,Stock_2015,Stock_2014,Stock_2013,Stock_2012,Stock_2011,Stock_2010,Trend_2015,Trend_2014,Trend_2013,Trend_2012,Trend_2011,Trend_2010,ID
74,11.0267225131,12.102974359,8.08117142857,7.31371969697,23.0759356725,22.7516546763,UP,DOWN,UP,DOWN,DOWN,UP,511658
75,112.037959641,49.0177782875,18.2167372372,14.2893046757,22.0012790698,23.3330745814,UP,UP,DOWN,UP,DOWN,DOWN,532356
76,914.657324365,817.318761468,260.204421922,314.294366516,453.655139535,446.797039574,DOWN,UP,DOWN,DOWN,DOWN,UP,500570
77,1008.93597907,1050.76323394,1610.06909159,1860.53800905,2338.30231783,2932.66653729,DOWN,DOWN,DOWN,UP,DOWN,UP,532538
78,285.16122571,305.443012232,369.177492492,531.837073906,632.783643411,934.584010654,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,532296
79,38.3893423019,32.357265745,32.6091591592,24.4902238806,51.2850620155,516.616286149,DOWN,UP,DOWN,UP,DOWN,DOWN,520151
80,775.447578475,666.572133028,759.019662162,1196.71420814,2106.70568217,959.283333333,UP,UP,DOWN,DOWN,DOWN,UP,532755
81,582.631442451,146.023188073,125.918310811,145.13352187,235.369348837,317.440418569,UP,DOWN,UP,DOWN,DOWN,UP,532921
82,161.499402093,95.2676911315,57.9259084084,39.001372549,53.3258837209,61.9443226788,DOWN,UP,UP,UP,DOWN,DOWN,523598
83,1799.80193572,1542.26124618,660.836839339,630.097368024,2068.8556124,2832.28118721,DOWN,UP,UP,DOWN,DOWN,UP,524084
84,17.2024962631,11.8282370031,8.07850537634,5.53720512821,14.1163302326,19.7383713851,DOWN,UP,UP,UP,DOWN,DOWN,532865
85,19.4381756757,10.278671275,8.27846314103,4.4556935123,4.49591709845,3.4934462963,UP,UP,UP,UP,UP,UP,532816
86,158.183056801,200.809892966,173.232747748,215.707986425,322.103031008,399.531925419,DOWN,UP,DOWN,DOWN,DOWN,UP,517334
87,2014.00833333,663.251582569,704.330052553,813.53826546,967.28972093,1256.8073516,UP,UP,DOWN,UP,DOWN,UP,500010
88,274.006345291,124.20353211,152.70228979,236.630769231,294.84444186,368.148348554,UP,UP,DOWN,DOWN,DOWN,DOWN,505537
89,170.808886398,153.34312596,131.095022624,101.959409091,208.370077519,322.003348554,UP,UP,UP,UP,DOWN,DOWN,532749
90,839.876487294,839.140711009,903.601418919,1392.75854449,1945.68689147,3655.25553272,DOWN,UP,DOWN,DOWN,DOWN,DOWN,506285
91,38.398916293,20.4222553517,13.6629174174,3.80273755656,2.40704381847,1.16805434783,UP,UP,DOWN,UP,UP,UP,533059
92,535.570717489,405.305412844,391.407364865,420.600497738,553.871744186,581.674771689,UP,UP,UP,DOWN,DOWN,UP,507685
93,12.0031704036,13.9967155963,4.68621921922,2.3954494721,2.41013488372,3.31147031963,DOWN,UP,UP,UP,DOWN,DOWN,526829
94,1988.48942451,2179.79240826,2061.8185961,2334.22622926,2646.63673643,3300.20548706,DOWN,UP,UP,DOWN,DOWN,DOWN,500660
95,2062.68107623,1816.31085627,3161.49887879,4342.41331818,6932.81085271,11126.6725875,UP,DOWN,DOWN,UP,DOWN,DOWN,500387
